Image file,Generated Caption
../data/validation/images/COCO_val2014_000000299720.jpg,a gife is sticking his head over a fence
../data/validation/images/COCO_val2014_000000032364.jpg,a woman flying a kite in a park
../data/validation/images/COCO_val2014_000000046869.jpg,a bathroom with a toilet and a sink
../data/validation/images/COCO_val2014_000000003690.jpg,a pizza with cheese and sauce
../data/validation/images/COCO_val2014_000000254625.jpg,a man swinging a baseball bat at a ball
../data/validation/images/COCO_val2014_000000016593.jpg,two men sitting on a couch playing a video game
../data/validation/images/COCO_val2014_000000050159.jpg,two people skiing down a snowy slope
../data/validation/images/COCO_val2014_000000409291.jpg,a woman and a child playing baseball in a field
../data/validation/images/COCO_val2014_000000546965.jpg,a truck with a car on top of it
../data/validation/images/COCO_val2014_000000190395.jpg,a refrigerator in a kitchen
../data/validation/images/COCO_val2014_000000022158.jpg,a kitchen with a stove and a sink
../data/validation/images/COCO_val2014_000000056739.jpg,a group of people walking down a street
../data/validation/images/COCO_val2014_000000226020.jpg,a boy on a skateboard
../data/validation/images/COCO_val2014_000000473774.jpg,a plate of food
../data/validation/images/COCO_val2014_000000034662.jpg,two sheeps in a field
../data/validation/images/COCO_val2014_000000254750.jpg,a bathroom with a toilet and a sink
../data/validation/images/COCO_val2014_000000531532.jpg,two people playing a video game in a living room
../data/validation/images/COCO_val2014_000000461751.jpg,a man on a motorcycle
../data/validation/images/COCO_val2014_000000145101.jpg,a living room with a couch and a television
../data/validation/images/COCO_val2014_000000565438.jpg,a man doing a trick on a skateboard
../data/validation/images/COCO_val2014_000000562090.jpg,modern bathroom design ideas
../data/validation/images/COCO_val2014_000000109924.jpg,a table with a cake on it
../data/validation/images/COCO_val2014_000000129065.jpg,a busy street with people walking around it
../data/validation/images/COCO_val2014_000000321578.jpg,a cow standing in a pen
../data/validation/images/COCO_val2014_000000307166.jpg,a table with a bunch of pizzas on it
../data/validation/images/COCO_val2014_000000042399.jpg,a man and woman holding glasses of wine
../data/validation/images/COCO_val2014_000000050829.jpg,a white plate with food on it
../data/validation/images/COCO_val2014_000000292415.jpg,a skateboarder is doing a trick on a ramp
../data/validation/images/COCO_val2014_000000576614.jpg,a bunch of bananas
../data/validation/images/COCO_val2014_000000433505.jpg,a computer and a mouse on a desk
../data/validation/images/COCO_val2014_000000465272.jpg,a group of people walking in the rain
../data/validation/images/COCO_val2014_000000412036.jpg,a white polka tablecloth
../data/validation/images/COCO_val2014_000000012670.jpg,a crowd of people walking down a street
../data/validation/images/COCO_val2014_000000357978.jpg,a woman standing in front of a white wall
../data/validation/images/COCO_val2014_000000074646.jpg,a person flying a kite on a beach
../data/validation/images/COCO_val2014_000000368088.jpg,a group of horses on a beach near the ocean
../data/validation/images/COCO_val2014_000000279420.jpg,a person is walking on a snowboard
../data/validation/images/COCO_val2014_000000320974.jpg,a dog sitting in the grass with a fr fr fr fr fr fr fr
../data/validation/images/COCO_val2014_000000365511.jpg,a street sign on a pole next to a tree
../data/validation/images/COCO_val2014_000000240739.jpg,a man playing tennis
../data/validation/images/COCO_val2014_000000299481.jpg,a person on skis going down a snowy slope
../data/validation/images/COCO_val2014_000000195863.jpg,a person flying a kite on a beach
../data/validation/images/COCO_val2014_000000544009.jpg,a white toilet bowl
../data/validation/images/COCO_val2014_000000089781.jpg,a plate of food on a table
../data/validation/images/COCO_val2014_000000125829.jpg,a bike parked on the side of a street
../data/validation/images/COCO_val2014_000000563381.jpg,the sky is blue
../data/validation/images/COCO_val2014_000000185802.jpg,a banana chair
../data/validation/images/COCO_val2014_000000416795.jpg,a slice of pizza
../data/validation/images/COCO_val2014_000000357194.jpg,a living room with a fireplace and a television
../data/validation/images/COCO_val2014_000000191949.jpg,a woman in a white dress playing tennis
../data/validation/images/COCO_val2014_000000417085.jpg,a couple of cows standing on a dirt road
../data/validation/images/COCO_val2014_000000064059.jpg,two people playing frc
../data/validation/images/COCO_val2014_000000424668.jpg,a toilet with a broken seat and a broken phone
../data/validation/images/COCO_val2014_000000349480.jpg,a display of stuffed bears
../data/validation/images/COCO_val2014_000000310600.jpg,two men sitting on a bench
../data/validation/images/COCO_val2014_000000152176.jpg,a bike parked next to a river with a bridge in the background
../data/validation/images/COCO_val2014_000000490620.jpg,a little girl eating a pizza
../data/validation/images/COCO_val2014_000000255990.jpg,a group of sheep
../data/validation/images/COCO_val2014_000000295823.jpg,a clock tower on a brick walkway next to a river
../data/validation/images/COCO_val2014_000000263223.jpg,a person skiing down a snowy hill
../data/validation/images/COCO_val2014_000000314876.jpg,a tennis player is about to hit the ball
../data/validation/images/COCO_val2014_000000402368.jpg,a living room with a fireplace and a couch
../data/validation/images/COCO_val2014_000000229740.jpg,a cat sitting on a sink
../data/validation/images/COCO_val2014_000000485909.jpg,man wearing a black shirt
../data/validation/images/COCO_val2014_000000503724.jpg,a train on the tracks
../data/validation/images/COCO_val2014_000000212766.jpg,a pizza box on a table
../data/validation/images/COCO_val2014_000000134574.jpg,a man sitting at a table with a plate of food
../data/validation/images/COCO_val2014_000000086168.jpg,a cat sitting on a window sie
../data/validation/images/COCO_val2014_000000295628.jpg,a baseball player holding a bat
../data/validation/images/COCO_val2014_000000082456.jpg,two elephants walking
../data/validation/images/COCO_val2014_000000089099.jpg,two women in a kitchen
../data/validation/images/COCO_val2014_000000518968.jpg,a person surfing in the ocean on a sunny day
../data/validation/images/COCO_val2014_000000242363.jpg,"a bathroom with a toilet, sink, and bathtub"
../data/validation/images/COCO_val2014_000000440779.jpg,a group of people playing a video game
../data/validation/images/COCO_val2014_000000057415.jpg,a train on the tracks
../data/validation/images/COCO_val2014_000000515779.jpg,a boy sitting on a chair
../data/validation/images/COCO_val2014_000000554618.jpg,a living room with a couch and a window
../data/validation/images/COCO_val2014_000000463781.jpg,a plane on the ground
../data/validation/images/COCO_val2014_000000152731.jpg,the sky is blue
../data/validation/images/COCO_val2014_000000558539.jpg,a bus parked on the side of the road
../data/validation/images/COCO_val2014_000000312051.jpg,a man riding an elephant in a ring
../data/validation/images/COCO_val2014_000000423935.jpg,two parking meters
../data/validation/images/COCO_val2014_000000361572.jpg,a woman in a red shirt
../data/validation/images/COCO_val2014_000000565245.jpg,a convey with donuts
../data/validation/images/COCO_val2014_000000191138.jpg,a large boat traveling down a river
../data/validation/images/COCO_val2014_000000074787.jpg,a bathroom with a toilet and a sign on the wall
../data/validation/images/COCO_val2014_000000115033.jpg,two zebras standing in a zoo enclosure
../data/validation/images/COCO_val2014_000000314880.jpg,a group of people playing frc
../data/validation/images/COCO_val2014_000000060464.jpg,a wooden table
../data/validation/images/COCO_val2014_000000504747.jpg,a woman wearing a red and white striped shirt
../data/validation/images/COCO_val2014_000000229270.jpg,a man standing next to a large suitcase
../data/validation/images/COCO_val2014_000000169584.jpg,two vases with a picture of a woman on them
../data/validation/images/COCO_val2014_000000005934.jpg,a baseball glove
../data/validation/images/COCO_val2014_000000450724.jpg,a man sitting on a bench
../data/validation/images/COCO_val2014_000000215652.jpg,a woman sitting on a bed with a laptop
../data/validation/images/COCO_val2014_000000552075.jpg,a woman taking a picture of herself in a mirror
../data/validation/images/COCO_val2014_000000446455.jpg,a plane is flying over a sign in the air
../data/validation/images/COCO_val2014_000000134689.jpg,a gife standing in the middle of a field
../data/validation/images/COCO_val2014_000000178761.jpg,a dog and a sheep are in a fence
../data/validation/images/COCO_val2014_000000122549.jpg,a man sitting at a desk with a laptop
../data/validation/images/COCO_val2014_000000098054.jpg,a plate of food on a table with a knife and fork
../data/validation/images/COCO_val2014_000000379158.jpg,a col of pictures of a bathroom with a toilet and a shower
../data/validation/images/COCO_val2014_000000496402.jpg,a man playing chess with a cat on a couch
../data/validation/images/COCO_val2014_000000420110.jpg,a man and a woman preparing food in a kitchen
../data/validation/images/COCO_val2014_000000288150.jpg,a man is doing a trick on a skateboard
../data/validation/images/COCO_val2014_000000516508.jpg,a clock is on the wall of a building
../data/validation/images/COCO_val2014_000000550576.jpg,two people playing frc
../data/validation/images/COCO_val2014_000000578786.jpg,a clock tower with a flag on top
../data/validation/images/COCO_val2014_000000571678.jpg,a teddy bear with a pillow
../data/validation/images/COCO_val2014_000000387383.jpg,two cats laying on a bed with a blanket
../data/validation/images/COCO_val2014_000000573094.jpg,a living room with a christmas tree and a bike
../data/validation/images/COCO_val2014_000000085005.jpg,two gis standing in the dirt
../data/validation/images/COCO_val2014_000000244099.jpg,a person riding a horse in a field
../data/validation/images/COCO_val2014_000000573536.jpg,a man in a suit
../data/validation/images/COCO_val2014_000000252940.jpg,two people standing under an umbrella
../data/validation/images/COCO_val2014_000000286907.jpg,a bathroom with a toilet and a bucket
../data/validation/images/COCO_val2014_000000505043.jpg,a desk with two computers and a lamp
../data/validation/images/COCO_val2014_000000330037.jpg,three dogs laying on a couch
../data/validation/images/COCO_val2014_000000126226.jpg,a baseball player is sitting on the dug
../data/validation/images/COCO_val2014_000000182417.jpg,a plate of food on a table with a view of a pool
../data/validation/images/COCO_val2014_000000330110.jpg,a hot dog on a grill
../data/validation/images/COCO_val2014_000000235597.jpg,a man sitting at a desk
../data/validation/images/COCO_val2014_000000044508.jpg,a man in a tie
../data/validation/images/COCO_val2014_000000076261.jpg,a bird flying over a mountain range
../data/validation/images/COCO_val2014_000000257971.jpg,a man playing a video game
../data/validation/images/COCO_val2014_000000403995.jpg,three girls with umbrellas
../data/validation/images/COCO_val2014_000000352576.jpg,a gife standing in the shade of a tree
../data/validation/images/COCO_val2014_000000326627.jpg,a rainbow appears over a street sign in a city
../data/validation/images/COCO_val2014_000000557812.jpg,a couple of people standing in the snow
../data/validation/images/COCO_val2014_000000225792.jpg,a police officer riding a motorcycle down a street
../data/validation/images/COCO_val2014_000000218430.jpg,two men playing a video game
../data/validation/images/COCO_val2014_000000066508.jpg,a fire hydrant sitting on the side of a road
../data/validation/images/COCO_val2014_000000488349.jpg,a kitchen with a stove and sink in it
../data/validation/images/COCO_val2014_000000143346.jpg,a baseball player swinging a bat at a baseball game
../data/validation/images/COCO_val2014_000000271116.jpg,two men sitting at a table
../data/validation/images/COCO_val2014_000000476710.jpg,a horse grazing in a field with a mountain in the background
../data/validation/images/COCO_val2014_000000285599.jpg,a large elephant standing in a field with a peacock
../data/validation/images/COCO_val2014_000000205089.jpg,a green couch
../data/validation/images/COCO_val2014_000000139281.jpg,a panda bear eating a piece of meat
../data/validation/images/COCO_val2014_000000414510.jpg,a man sitting on the sidewalk next to a bike
../data/validation/images/COCO_val2014_000000387362.jpg,a bathroom mirror
../data/validation/images/COCO_val2014_000000558587.jpg,a woman riding a pink motorcycle down a street
../data/validation/images/COCO_val2014_000000293625.jpg,a woman playing a video game
../data/validation/images/COCO_val2014_000000580591.jpg,a woman skiing down a snowy hill
../data/validation/images/COCO_val2014_000000455290.jpg,the elephants are gray
../data/validation/images/COCO_val2014_000000332221.jpg,a motorcycle parked on the street
../data/validation/images/COCO_val2014_000000108645.jpg,two men sitting on a couch
../data/validation/images/COCO_val2014_000000203690.jpg,a man carrying a surfboard
../data/validation/images/COCO_val2014_000000054091.jpg,a woman sitting in a chair with a laptop
../data/validation/images/COCO_val2014_000000478430.jpg,a woman in a bathing suit holding a froth of a fr fr fr
../data/validation/images/COCO_val2014_000000559707.jpg,a white plate with food
../data/validation/images/COCO_val2014_000000546687.jpg,a street with cars and a train on it
../data/validation/images/COCO_val2014_000000344888.jpg,a field of green grass
../data/validation/images/COCO_val2014_000000340511.jpg,a kitchen with a stove and a microwave
../data/validation/images/COCO_val2014_000000239194.jpg,a gi git standing in the grass
../data/validation/images/COCO_val2014_000000035599.jpg,a patio with tables and chairs under an umbrella
../data/validation/images/COCO_val2014_000000509826.jpg,a man riding a skateboard on a cement surface
../data/validation/images/COCO_val2014_000000032609.jpg,a young boy in a suit and tie
../data/validation/images/COCO_val2014_000000369647.jpg,a man in a suit and tie is on a television screen
../data/validation/images/COCO_val2014_000000198075.jpg,a group of people riding horses on a beach
../data/validation/images/COCO_val2014_000000104422.jpg,a man in a tie and suspends is standing in the grass
../data/validation/images/COCO_val2014_000000242365.jpg,a woman in a kitchen preparing food
../data/validation/images/COCO_val2014_000000485822.jpg,a yellow motorcycle
../data/validation/images/COCO_val2014_000000053491.jpg,a pizza on a pan
../data/validation/images/COCO_val2014_000000305195.jpg,a man throwing a baseball
../data/validation/images/COCO_val2014_000000141416.jpg,a police officer riding a motorcycle down a street
../data/validation/images/COCO_val2014_000000013132.jpg,two men standing in a river
../data/validation/images/COCO_val2014_000000101785.jpg,two elephants standing in a grassy field with their trunks curled
../data/validation/images/COCO_val2014_000000333630.jpg,a group of people playing a musical game
../data/validation/images/COCO_val2014_000000287545.jpg,a gife standing next to a baby gife
../data/validation/images/COCO_val2014_000000392506.jpg,a woman sitting on a rock with bananas
../data/validation/images/COCO_val2014_000000448555.jpg,a kitchen with a refrigerator and a stove
../data/validation/images/COCO_val2014_000000365404.jpg,a man in a suit and tie playing a pipe
../data/validation/images/COCO_val2014_000000025202.jpg,a plate of food with a fork and knife
../data/validation/images/COCO_val2014_000000224742.jpg,a bathroom with a sink and a mirror
../data/validation/images/COCO_val2014_000000097156.jpg,a cat is sitting in a suitcase with clothes
../data/validation/images/COCO_val2014_000000017313.jpg,a group of people standing around a table
../data/validation/images/COCO_val2014_000000152933.jpg,a man standing on the side of a road
../data/validation/images/COCO_val2014_000000528136.jpg,a van with a satellite antenna on top of it
../data/validation/images/COCO_val2014_000000421437.jpg,a painting of a bear and a kite
../data/validation/images/COCO_val2014_000000056373.jpg,a cat is sitting in a doorway
../data/validation/images/COCO_val2014_000000242095.jpg,a crowd of people flying kites in a park
../data/validation/images/COCO_val2014_000000297314.jpg,a baseball player throwing a ball
../data/validation/images/COCO_val2014_000000564865.jpg,a fire hydrant in a parking lot with a building in the background
../data/validation/images/COCO_val2014_000000198658.jpg,a woman sitting on a couch with a laptop and a cat
../data/validation/images/COCO_val2014_000000253506.jpg,a truck is parked in a parking lot
../data/validation/images/COCO_val2014_000000378302.jpg,a train car is parked on the tracks
../data/validation/images/COCO_val2014_000000283264.jpg,a baseball player throwing a ball
../data/validation/images/COCO_val2014_000000262654.jpg,"a plate of food with meat, rice, and brocco"
../data/validation/images/COCO_val2014_000000262736.jpg,a dog running with a fr fr fr fr fr fr fr fr fr fr
../data/validation/images/COCO_val2014_000000207292.jpg,a little boy holding a bat on a street
../data/validation/images/COCO_val2014_000000397322.jpg,a white refrigerator
../data/validation/images/COCO_val2014_000000497021.jpg,a tree in the middle of the road
../data/validation/images/COCO_val2014_000000511658.jpg,a white umbrella
../data/validation/images/COCO_val2014_000000171181.jpg,a table with a bunch of glasses on it
../data/validation/images/COCO_val2014_000000454562.jpg,a baseball player swinging a bat at a baseball game
../data/validation/images/COCO_val2014_000000552074.jpg,a bathroom with a toilet and a blue toilet seat
../data/validation/images/COCO_val2014_000000553248.jpg,a person holding a slice of pizza
../data/validation/images/COCO_val2014_000000408112.jpg,a plane on the ground
../data/validation/images/COCO_val2014_000000104320.jpg,a cell phone with a black screen
../data/validation/images/COCO_val2014_000000210228.jpg,two planes flying in the sky
../data/validation/images/COCO_val2014_000000408336.jpg,a group of zebras
../data/validation/images/COCO_val2014_000000052257.jpg,a living room with a fireplace and a rug
../data/validation/images/COCO_val2014_000000148766.jpg,a display of blue and white vases
../data/validation/images/COCO_val2014_000000562519.jpg,a man in a helmet is standing next to a motorcycle
../data/validation/images/COCO_val2014_000000181816.jpg,a statue of a man sitting on a bench
../data/validation/images/COCO_val2014_000000333240.jpg,a pizza with cheese
../data/validation/images/COCO_val2014_000000091236.jpg,two planes flying in the sky
../data/validation/images/COCO_val2014_000000465489.jpg,a person on a snowboard going down a snowy hill
../data/validation/images/COCO_val2014_000000200152.jpg,a street sign with a cat on it
../data/validation/images/COCO_val2014_000000196321.jpg,a bar with a lot of bottles of alcohol
../data/validation/images/COCO_val2014_000000330932.jpg,a group of people playing soccer on a field
../data/validation/images/COCO_val2014_000000233848.jpg,a kite flying in the air over a field
../data/validation/images/COCO_val2014_000000360878.jpg,a man and woman playing frc
../data/validation/images/COCO_val2014_000000348379.jpg,a man in a red shirt
../data/validation/images/COCO_val2014_000000148614.jpg,a clock on the wall above a plant
../data/validation/images/COCO_val2014_000000526364.jpg,a kitchen with a sink and a stove
../data/validation/images/COCO_val2014_000000114616.jpg,a group of sheep laying in a pen
../data/validation/images/COCO_val2014_000000537297.jpg,a woman and a child are playing baseball
../data/validation/images/COCO_val2014_000000372580.jpg,a person is water skiing in the water
../data/validation/images/COCO_val2014_000000033652.jpg,a pizza on a pan
../data/validation/images/COCO_val2014_000000486774.jpg,a man surfing in the ocean
../data/validation/images/COCO_val2014_000000564739.jpg,a train on the tracks
../data/validation/images/COCO_val2014_000000237814.jpg,a baseball player swinging at a ball
../data/validation/images/COCO_val2014_000000168225.jpg,a bathroom with a sink and mirror in it
../data/validation/images/COCO_val2014_000000158222.jpg,"a bedroom with a bed, desk, and chair"
../data/validation/images/COCO_val2014_000000281455.jpg,a flock of birds flying over a body of water
../data/validation/images/COCO_val2014_000000027441.jpg,a group of people walking down a street
../data/validation/images/COCO_val2014_000000327771.jpg,a bed with a wooden frame and a white rug
../data/validation/images/COCO_val2014_000000129159.jpg,a clock tower
../data/validation/images/COCO_val2014_000000476597.jpg,a man in a suit
../data/validation/images/COCO_val2014_000000238029.jpg,a table with a pizza and a glass of wine
../data/validation/images/COCO_val2014_000000299573.jpg,two gis standing in a field
../data/validation/images/COCO_val2014_000000401758.jpg,a dog and a cat are standing on a gravel road
../data/validation/images/COCO_val2014_000000250240.jpg,"a bathroom with a toilet, sink, and mirror"
../data/validation/images/COCO_val2014_000000351369.jpg,a large white plane
../data/validation/images/COCO_val2014_000000251816.jpg,a zebra standing on the ground
../data/validation/images/COCO_val2014_000000222266.jpg,a piece of chocolate cake with a strawberry on top
../data/validation/images/COCO_val2014_000000252342.jpg,a living room with a christmas tree in the corner
../data/validation/images/COCO_val2014_000000179045.jpg,a boy laying on a bed with a stuffed animal
../data/validation/images/COCO_val2014_000000391463.jpg,a woman walking on the beach carrying a surfboard
../data/validation/images/COCO_val2014_000000383621.jpg,a plane flying in the sky
../data/validation/images/COCO_val2014_000000212261.jpg,a woman in a white shirt
../data/validation/images/COCO_val2014_000000272185.jpg,a parking meter on the side of the road
../data/validation/images/COCO_val2014_000000154846.jpg,a pizza with mushrooms and cheese on it
../data/validation/images/COCO_val2014_000000334566.jpg,a computer desk with a laptop on top of it
../data/validation/images/COCO_val2014_000000223241.jpg,a man sitting on a couch holding a baby
../data/validation/images/COCO_val2014_000000212817.jpg,a child on a snowboard
../data/validation/images/COCO_val2014_000000229765.jpg,a man in a white tank top
../data/validation/images/COCO_val2014_000000125100.jpg,a dog sitting on a couch in front of a window
../data/validation/images/COCO_val2014_000000122314.jpg,a street with cars and a traffic light
../data/validation/images/COCO_val2014_000000460684.jpg,three men sitting at a table with beer bottles
../data/validation/images/COCO_val2014_000000141002.jpg,a man holding a tennis racket
../data/validation/images/COCO_val2014_000000076572.jpg,a woman holding a remote control in her hand
../data/validation/images/COCO_val2014_000000505565.jpg,a white bird standing in the grass
../data/validation/images/COCO_val2014_000000075412.jpg,a mirror with a person's hand in it
../data/validation/images/COCO_val2014_000000533107.jpg,a double decker bus
../data/validation/images/COCO_val2014_000000442323.jpg,a hotel room with a television and a bed
../data/validation/images/COCO_val2014_000000293810.jpg,a plate of food
../data/validation/images/COCO_val2014_000000486194.jpg,a woman holding an umbrella
../data/validation/images/COCO_val2014_000000208408.jpg,a person walking down a street with an umbrella
../data/validation/images/COCO_val2014_000000135872.jpg,a desk with a computer and a monitor
../data/validation/images/COCO_val2014_000000375786.jpg,a group of people flying kites on a beach
../data/validation/images/COCO_val2014_000000300034.jpg,a bathroom with a glass shower door
../data/validation/images/COCO_val2014_000000125700.jpg,a boat on the beach
../data/validation/images/COCO_val2014_000000508672.jpg,a bike is parked on a bridge over a flooded stream
../data/validation/images/COCO_val2014_000000529798.jpg,a herd of sheep
../data/validation/images/COCO_val2014_000000549629.jpg,a black bear laying in the grass
../data/validation/images/COCO_val2014_000000205854.jpg,a dog laying on a couch with a teddy bear
../data/validation/images/COCO_val2014_000000541562.jpg,a plate of food
../data/validation/images/COCO_val2014_000000022158.jpg,a kitchen with a stove and a sink
../data/validation/images/COCO_val2014_000000309371.jpg,a group of people sitting at picnic tables
../data/validation/images/COCO_val2014_000000481628.jpg,a group of swans swimming in a lake
../data/validation/images/COCO_val2014_000000377730.jpg,a group of people sitting around a table
../data/validation/images/COCO_val2014_000000549324.jpg,pizza box on a bed
../data/validation/images/COCO_val2014_000000125314.jpg,a row of boats docked in a canal
../data/validation/images/COCO_val2014_000000249969.jpg,a plate of food on a table with a fork
../data/validation/images/COCO_val2014_000000313585.jpg,"a living room with a couch, chair, and television"
../data/validation/images/COCO_val2014_000000257971.jpg,a man playing a video game
../data/validation/images/COCO_val2014_000000237517.jpg,a table with a plate of food and a bowl of salad
../data/validation/images/COCO_val2014_000000230661.jpg,a yellow van parked on the side of the road
../data/validation/images/COCO_val2014_000000515176.jpg,a refrigerator sitting next to a refrigerator in a kitchen
../data/validation/images/COCO_val2014_000000388042.jpg,a microwave and microwave are on the wall
../data/validation/images/COCO_val2014_000000568281.jpg,a living room with a television and a chair
../data/validation/images/COCO_val2014_000000197199.jpg,a wooden fence
../data/validation/images/COCO_val2014_000000337453.jpg,a person is sitting in the snow with their skis
../data/validation/images/COCO_val2014_000000312081.jpg,a cat in the hat puppet
../data/validation/images/COCO_val2014_000000248112.jpg,a tennis court
../data/validation/images/COCO_val2014_000000250258.jpg,a baseball player standing on a baseball field
../data/validation/images/COCO_val2014_000000252495.jpg,two people are windsurfining in the water
../data/validation/images/COCO_val2014_000000390147.jpg,a group of people playing frc fr fr fr fr fr fr fr fr
../data/validation/images/COCO_val2014_000000112841.jpg,a red motorcycle
../data/validation/images/COCO_val2014_000000062549.jpg,a man holding a bird
../data/validation/images/COCO_val2014_000000475990.jpg,a cup of coffee and a plate of chocolate covered dons
../data/validation/images/COCO_val2014_000000542183.jpg,a man is sitting on a motorcycle on a street
../data/validation/images/COCO_val2014_000000446322.jpg,a display case filled with lots of different types of donuts
../data/validation/images/COCO_val2014_000000259497.jpg,a woman standing in a living room holding a remote
../data/validation/images/COCO_val2014_000000223241.jpg,a man sitting on a couch holding a baby
../data/validation/images/COCO_val2014_000000329498.jpg,a wave in the ocean
../data/validation/images/COCO_val2014_000000094376.jpg,a dog sitting on a pillow in front of a window
../data/validation/images/COCO_val2014_000000494433.jpg,a close up of a wine glass with a wine bottle in the background
../data/validation/images/COCO_val2014_000000109673.jpg,a man in a kitchen preparing food
../data/validation/images/COCO_val2014_000000261068.jpg,a woman is standing in a fenced area with two dogs
../data/validation/images/COCO_val2014_000000298190.jpg,a sign on a wall that reads the name of a building
../data/validation/images/COCO_val2014_000000244909.jpg,a bed with a wooden frame and a white blanket
../data/validation/images/COCO_val2014_000000388395.jpg,a group of buses
../data/validation/images/COCO_val2014_000000503101.jpg,a man and a woman looking at a cell
../data/validation/images/COCO_val2014_000000491203.jpg,a bathroom with a toilet and a chair
../data/validation/images/COCO_val2014_000000448854.jpg,a white table
../data/validation/images/COCO_val2014_000000573179.jpg,a boy standing next to a horse on the shore
../data/validation/images/COCO_val2014_000000110601.jpg,a bathroom with a sink and a mirror
../data/validation/images/COCO_val2014_000000260627.jpg,a train on the tracks
../data/validation/images/COCO_val2014_000000032610.jpg,a laptop and a laptop computer on a wooden table
../data/validation/images/COCO_val2014_000000481635.jpg,a woman sitting at a table with a pizza
../data/validation/images/COCO_val2014_000000204536.jpg,two elephants in a field
../data/validation/images/COCO_val2014_000000066543.jpg,a black fire hydra
../data/validation/images/COCO_val2014_000000213599.jpg,a woman and a little girl are cutting a cake
../data/validation/images/COCO_val2014_000000419558.jpg,a bench sitting on the shore of a lake
../data/validation/images/COCO_val2014_000000184762.jpg,a clock with a gold face and black hands
../data/validation/images/COCO_val2014_000000001799.jpg,a green and white truck
../data/validation/images/COCO_val2014_000000059740.jpg,a table with a bunch of vegetables on it
../data/validation/images/COCO_val2014_000000010263.jpg,a living room with a fireplace and a large window
../data/validation/images/COCO_val2014_000000029406.jpg,a bench in a garden
../data/validation/images/COCO_val2014_000000372413.jpg,a person on a motorcycle is going down the road
