Image ID,Image file,Question ID,Question,Answer,Plausible answers,Question Type,Answer Type
312051,../data/validation/images/COCO_val2014_000000312051.jpg,312051002,Is this at the circus?,yes,{'yes'},is this,yes/no
423935,../data/validation/images/COCO_val2014_000000423935.jpg,423935001,How many parking meters are on the screen?,2,{'2'},how many,number
361572,../data/validation/images/COCO_val2014_000000361572.jpg,361572002,What is the green colored object the lady is wearing?,apron,{'apron'},what is the,other
565245,../data/validation/images/COCO_val2014_000000565245.jpg,565245001,Are the donuts going to be glazed?,yes,{'yes'},are the,yes/no
191138,../data/validation/images/COCO_val2014_000000191138.jpg,191138047,Is the arch round?,no,"{'no', 'yes'}",is the,yes/no
74787,../data/validation/images/COCO_val2014_000000074787.jpg,74787002,What sign is on the table?,bathroom,"{'none', 'buscemi', 'man and boy', 'toilet', 'bathroom', 'man and child', 'stop', 'men'}",what,other
115033,../data/validation/images/COCO_val2014_000000115033.jpg,115033000,Are there two zebras?,yes,{'yes'},are there,yes/no
314880,../data/validation/images/COCO_val2014_000000314880.jpg,314880001,How many players are shown?,5,{'5'},how many,number
60464,../data/validation/images/COCO_val2014_000000060464.jpg,60464004,Do any of the dishes have lids?,no,{'no'},do,yes/no
504747,../data/validation/images/COCO_val2014_000000504747.jpg,504747000,Is the lady wearing glasses?,no,"{'no', 'yes'}",is the,yes/no
229270,../data/validation/images/COCO_val2014_000000229270.jpg,229270002,What is the man sitting on?,chair,"{'floor', 'suitcase', ""i don't know"", 'chair', 'bench', 'luggage'}",what is the man,other
169584,../data/validation/images/COCO_val2014_000000169584.jpg,169584002,Are all the vases painted with the same pattern?,no,"{'no', 'yes'}",are,yes/no
5934,../data/validation/images/COCO_val2014_000000005934.jpg,5934001,What sport is this used in?,baseball,"{'baseball', 'yes'}",what sport is,other
450724,../data/validation/images/COCO_val2014_000000450724.jpg,450724006,Is this a vacation spot?,yes,"{'no', 'maybe', 'yes'}",is this a,yes/no
215652,../data/validation/images/COCO_val2014_000000215652.jpg,215652004,Is the boy in the photo wearing pajamas?,yes,"{'no', 'none shown', 'yes'}",is the,yes/no
552075,../data/validation/images/COCO_val2014_000000552075.jpg,552075008,Does the person have a mask on?,no,{'no'},does the,yes/no
446455,../data/validation/images/COCO_val2014_000000446455.jpg,446455001,Is this an American town?,yes,{'yes'},is this an,yes/no
134689,../data/validation/images/COCO_val2014_000000134689.jpg,134689007,How many giraffes are there?,1,{'1'},how many,number
178761,../data/validation/images/COCO_val2014_000000178761.jpg,178761001,What type of sheep is in the picture?,white,"{'lleyn', 'white sheep', 'female', 'white', 'grazing', 'ewe', 'dorper'}",what type of,other
122549,../data/validation/images/COCO_val2014_000000122549.jpg,122549090,Is it cold outside?,no,"{'inside photo', 'unsure', 'no', 'yes'}",is it,yes/no
98054,../data/validation/images/COCO_val2014_000000098054.jpg,98054000,How many cups are there?,1,{'1'},how many,number
379158,../data/validation/images/COCO_val2014_000000379158.jpg,379158000,What is missing from the shower?,door,"{'door', 'soap', 'curtains', 'nothing', 'towel'}",what is,other
496402,../data/validation/images/COCO_val2014_000000496402.jpg,496402000,What's in the man's hand?,chess piece,"{'chess', 'chess piece', 'pawn'}",none of the above,other
420110,../data/validation/images/COCO_val2014_000000420110.jpg,420110034,Are these food items salty?,yes,"{'no', 'yes'}",are these,yes/no
288150,../data/validation/images/COCO_val2014_000000288150.jpg,288150009,What is the person doing?,skateboarding,"{'skateboarding jump', 'skateboarding'}",what is the person,other
516508,../data/validation/images/COCO_val2014_000000516508.jpg,516508000,What time does the clock read?,2:40,"{'2:40', '2', '8:15', '2:00', '1:40', '2:42', '3:40'}",what time,number
550576,../data/validation/images/COCO_val2014_000000550576.jpg,550576001,What are the men doing?,playing frisbee,"{'frisbee', 'playing frisbee', 'jumping', 'playing', 'jumping for frisbee'}",what are the,other
578786,../data/validation/images/COCO_val2014_000000578786.jpg,578786002,How many clocks are on the tower?,2,{'2'},how many,number
571678,../data/validation/images/COCO_val2014_000000571678.jpg,571678001,What does the bear hold?,pillow,{'pillow'},what does the,other
387383,../data/validation/images/COCO_val2014_000000387383.jpg,387383000,How many cats are in bed?,3,"{'3', '2'}",how many,number
573094,../data/validation/images/COCO_val2014_000000573094.jpg,573094002,IS the TV a flat screen or tube?,flat,"{'flat', 'tube', 'flat screen'}",is the,other
85005,../data/validation/images/COCO_val2014_000000085005.jpg,85005008,How many spots are on the giraffe?,hundreds,"{'54', 'lot', '40', 'many', '105', '1500', '52', 'to many to count', 'hundreds'}",how many,other
244099,../data/validation/images/COCO_val2014_000000244099.jpg,244099008,What color are the vests?,orange,"{'red', 'orange'}",what color are the,other
573536,../data/validation/images/COCO_val2014_000000573536.jpg,573536027,What type of wallpaper is behind them?,none,"{'crepe', 'none', 'white', 'beige', 'solid', 'brown', 'no wallpaper'}",what type of,other
252940,../data/validation/images/COCO_val2014_000000252940.jpg,252940011,What color umbrellas are the people holding?,black,{'black'},what color,other
286907,../data/validation/images/COCO_val2014_000000286907.jpg,286907009,Is the toilet lid up?,yes,{'yes'},is the,yes/no
505043,../data/validation/images/COCO_val2014_000000505043.jpg,505043000,How many monitors are on the desk?,3,{'3'},how many,number
330037,../data/validation/images/COCO_val2014_000000330037.jpg,330037005,What color is the dog on the far right?,blonde,"{'cream', 'dog color on far right is brown', 'blonde', 'white', 'beige', 'tan', 'yellow'}",what color is the,other
126226,../data/validation/images/COCO_val2014_000000126226.jpg,126226000,What kind of equipment is on the edge of the dugout?,baseball,"{'bats', 'baseball equipment', 'mitts', 'gloves', 'baseball gloves', 'baseball'}",what kind of,other
182417,../data/validation/images/COCO_val2014_000000182417.jpg,182417001,Will this cake be delicious?,yes,{'yes'},none of the above,yes/no
330110,../data/validation/images/COCO_val2014_000000330110.jpg,330110002,Where are they cooking?,hot dogs,"{'hot dog', 'weiners', 'beach', 'at beach', 'hot dogs'}",none of the above,other
235597,../data/validation/images/COCO_val2014_000000235597.jpg,235597027,What are they playing?,frisbee,"{'frisbee', 'computer games', 'wow', 'international espionage', 'computer', 'computers', 'who wants to be millionaire', 'who wants to be millionaire?', 'game show game', 'working'}",what are,other
44508,../data/validation/images/COCO_val2014_000000044508.jpg,44508001,Does this man have any hair?,yes,"{'no', 'yes'}",does this,yes/no
76261,../data/validation/images/COCO_val2014_000000076261.jpg,76261016,Is this an altered image?,no,"{'no', 'yes'}",is this an,yes/no
257971,../data/validation/images/COCO_val2014_000000257971.jpg,257971016,Is this a wedding?,no,{'no'},is this a,yes/no
403995,../data/validation/images/COCO_val2014_000000403995.jpg,403995014,Is this a gay parade??,no,{'no'},is this a,yes/no
352576,../data/validation/images/COCO_val2014_000000352576.jpg,352576004,What is the giraffe doing?,looking,"{'looking', 'watching', 'looking at something', 'staring', 'standing', 'eating'}",what is the,other
326627,../data/validation/images/COCO_val2014_000000326627.jpg,326627006,What color is the sign?,blue,"{'blue', 'blue and white'}",what color is the,other
557812,../data/validation/images/COCO_val2014_000000557812.jpg,557812013,What is the person doing?,taking picture,"{'skiing', 'taking pictures', 'taking photo', 'photo', 'taking picture'}",what is the person,other
225792,../data/validation/images/COCO_val2014_000000225792.jpg,225792002,Is this cop chasing a suspect?,no,"{'no', 'unknown'}",is this,yes/no
218430,../data/validation/images/COCO_val2014_000000218430.jpg,218430002,"According to the door, what planet are they on?",internet,"{'earth', 'internet', 'planet internet', ""can't read""}",none of the above,other
66508,../data/validation/images/COCO_val2014_000000066508.jpg,66508001,Can a maintenance crew access this gutter from above?,yes,"{'no', 'yes'}",none of the above,yes/no
488349,../data/validation/images/COCO_val2014_000000488349.jpg,488349001,How many lights are on?,2,"{'1', '2', '4', '3'}",how many,number
143346,../data/validation/images/COCO_val2014_000000143346.jpg,143346000,How many sponsors are shown?,2,{'2'},how many,number
271116,../data/validation/images/COCO_val2014_000000271116.jpg,271116001,Is the man on the right holding his hands together?,no,"{""no he's holding phone"", 'no', 'yes'}",is the man,yes/no
476710,../data/validation/images/COCO_val2014_000000476710.jpg,476710000,What is the animal in the middle of the screen?,horse,{'horse'},what is the,other
285599,../data/validation/images/COCO_val2014_000000285599.jpg,285599002,What is the color of the grass?,green,"{'green', 'green and brown'}",what is the color of the,other
205089,../data/validation/images/COCO_val2014_000000205089.jpg,205089003,How many faces are depicted in the pictures?,4,"{'3', '2', '2 each', '5', '4'}",how many,number
139281,../data/validation/images/COCO_val2014_000000139281.jpg,139281003,What kind of animals are these?,panda,"{'pandas', 'panda', 'panda bear', 'bear'}",what kind of,other
414510,../data/validation/images/COCO_val2014_000000414510.jpg,414510002,What color is the road?,gray,"{'gray', 'black'}",what color is the,other
387362,../data/validation/images/COCO_val2014_000000387362.jpg,387362000,How many mirrors are in the photo?,2,"{'1', '2'}",how many,number
558587,../data/validation/images/COCO_val2014_000000558587.jpg,558587000,Where are the horns?,on handlebars,"{'motorcycle top', 'on front of bike', 'on headlight', 'front', 'near handlebars', 'on handlebars', 'handlebar', 'on motorcycle'}",where are the,other
293625,../data/validation/images/COCO_val2014_000000293625.jpg,293625028,How many people are wearing glasses?,2,{'2'},how many people are,number
580591,../data/validation/images/COCO_val2014_000000580591.jpg,580591000,Is the person cold?,yes,"{'c\\yes', 'no', 'yes'}",is the person,yes/no
455290,../data/validation/images/COCO_val2014_000000455290.jpg,455290000,How many animals are there?,3,{'3'},how many,number
332221,../data/validation/images/COCO_val2014_000000332221.jpg,332221000,Are there any balloons in the picture?,yes,{'yes'},are there any,yes/no
108645,../data/validation/images/COCO_val2014_000000108645.jpg,108645007,How many people are wearing glasses?,1,{'1'},how many people are,number
203690,../data/validation/images/COCO_val2014_000000203690.jpg,203690003,Are the men surfing in the water?,no,"{'no', 'not yet', 'yes'}",are the,yes/no
