Image File,Caption
../data/validation/images/COCO_val2014_000000568717.jpg,a kitchen with a sink and a stove
../data/validation/images/COCO_val2014_000000456908.jpg,a tray of food
../data/validation/images/COCO_val2014_000000220732.jpg,a bus parked in a parking
../data/validation/images/COCO_val2014_000000416345.jpg,a cat sitting on a chair in a room
../data/validation/images/COCO_val2014_000000010014.jpg,a bus on the street
../data/validation/images/COCO_val2014_000000297220.jpg,a woman holding a banana
../data/validation/images/COCO_val2014_000000083235.jpg,a large commercial jet taking off from an airport runway
../data/validation/images/COCO_val2014_000000041773.jpg,a sign on a road
../data/validation/images/COCO_val2014_000000313228.jpg,a young boy sitting at a table eating food
../data/validation/images/COCO_val2014_000000278401.jpg,a street with a sign and a traffic cone
